delta,alpha1,alpha2,alpha3,alpha4,alpha5,E_lower,E_upper
0.0006000000000000001,0.1649196230065899,0.1649196230065899,0.01592136511841324,0.21645698133060953,0.4377824075377974,3.0430024693874578,3.0169105106161247
0.0007,0.1649196230065899,0.1649196230065899,0.01592136511841324,0.21645698133060953,0.4377824075377974,3.0265140668819166,3.001623642980598
0.0007999999999999999,0.1649196230065899,0.1649196230065899,0.01592136511841324,0.21645698133060953,0.4377824075377974,3.0101137560021254,2.986488899497966
0.0009,0.1649196230065899,0.1649196230065899,0.01592136511841324,0.21645698133060953,0.4377824075377974,2.994552917289206,2.971942359547776
0.001,0.1649196230065899,0.1649196230065899,0.01592136511841324,0.21645698133060953,0.4377824075377974,2.9792929631571208,2.9578882185978475
0.0001,0.1252758810513151,0.1252758810513151,0.2019887027795883,0.09582144606271566,0.45163808905506586,4.201846771410778,4.151528788944868
0.00019999999999999998,0.1252758810513151,0.1252758810513151,0.2019887027795883,0.09582144606271566,0.45163808905506586,4.159684209653106,4.110259885667056
0.0003,0.1252758810513151,0.1252758810513151,0.2019887027795883,0.09582144606271566,0.45163808905506586,4.119596915739615,4.071066979747975
0.00039999999999999996,0.1252758810513151,0.1252758810513151,0.2019887027795883,0.09582144606271566,0.45163808905506586,4.081154444993713,4.03347629281133
0.0005,0.1252758810513151,0.1252758810513151,0.2019887027795883,0.09582144606271566,0.45163808905506586,4.044343544118365,3.9973658310055096
0.0006000000000000001,0.1252758810513151,0.1252758810513151,0.2019887027795883,0.09582144606271566,0.45163808905506586,4.008597777466254,3.962488399353992
0.0007,0.1252758810513151,0.1252758810513151,0.2019887027795883,0.09582144606271566,0.45163808905506586,3.974624657898593,3.9293200330719147
0.0007999999999999999,0.1252758810513151,0.1252758810513151,0.2019887027795883,0.09582144606271566,0.45163808905506586,3.9415972893085383,3.897009253039109
0.0009,0.1252758810513151,0.1252758810513151,0.2019887027795883,0.09582144606271566,0.45163808905506586,3.909707911134226,3.865812056848007
0.001,0.1252758810513151,0.1252758810513151,0.2019887027795883,0.09582144606271566,0.45163808905506586,3.87888182539379,3.8356557143003496
0.0001,0.05104289712586929,0.05104289712586929,0.4278227027835432,0.011181792271299281,0.458909710693419,4.966261741015832,4.9625688613153045
0.00019999999999999998,0.05104289712586929,0.05104289712586929,0.4278227027835432,0.011181792271299281,0.458909710693419,4.909993517734992,4.9063688942138395
0.0003,0.05104289712586929,0.05104289712586929,0.4278227027835432,0.011181792271299281,0.458909710693419,4.856283864565945,4.852749680666632
0.00039999999999999996,0.05104289712586929,0.05104289712586929,0.4278227027835432,0.011181792271299281,0.458909710693419,4.805437809804435,4.8020766086955
