delta,alpha1,alpha2,alpha3,alpha4,alpha5,E_lower,E_upper
0.01,0.070548153,0.070548153,0.248317959,0.116798768,0.493786968,4.653141324,4.644114296
0.01,0.037135669,0.037135669,0.487185399,0.101764288,0.336778976,4.156885784,4.15584013
0.02,0.071980096,0.071980096,0.150525243,0.213928595,0.491585969,3.218659077,3.212240551
0.02,0.124465642,0.124465642,0.031802294,0.242593682,0.47667274,2.744043884,2.727822085
0.02,0.03733719,0.03733719,0.435908686,0.439128435,0.050288499,2.372291109,2.371941018
0.02,0.101797509,0.101797509,0.154234767,0.495982509,0.146187707,3.387246151,3.370946799
0.02,0.105808157,0.105808157,0.45357106,0.150756317,0.184056307,2.188653013,2.184525963
0.02,0.051807616,0.051807616,0.141024876,0.481124442,0.27423545,2.86729069,2.865002705
0.02,0.052066476,0.052066476,0.438428594,0.022065341,0.435373113,2.360337672,2.359166704
0.02,0.137987656,0.137987656,0.162773315,0.474903244,0.086348129,2.705018525,2.686966814
0.02,0.038701759,0.038701759,0.442761866,0.279616007,0.200218609,1.992462892,1.992373058
0.02,0.072106041,0.072106041,0.175826045,0.215278504,0.464683369,2.433839532,2.430182362
0.02,0.104438199,0.104438199,0.456035011,0.079931004,0.255157586,2.240937667,2.236071293
0.02,0.036986926,0.036986926,0.143483688,0.459353068,0.323189391,2.323147006,2.322762689
0.02,0.04918744,0.04918744,0.174723832,0.435015751,0.291885536,1.874599154,1.874483652
0.02,0.063731484,0.063731484,0.091489967,0.31874693,0.462300134,2.386723245,2.384299451
0.02,0.065905371,0.065905371,0.491253703,0.203294619,0.173640937,3.206274612,3.201146239
0.02,0.166246323,0.166246323,0.036880289,0.159237878,0.471389186,2.604508025,2.597632542
0.02,0.143261246,0.143261246,0.468668745,0.216319442,0.028489321,2.531352958,2.519445297
0.02,0.067820672,0.067820672,0.303338316,0.110863619,0.450156721,2.134504397,2.132766477
0.02,0.142466252,0.142466252,0.086152621,0.482130411,0.146784463,2.917788455,2.892589395
0.02,0.08932008,0.08932008,0.28057141,0.101689005,0.439099426,1.932743094,1.932160361
0.02,0.112309931,0.112309931,0.117211362,0.461244951,0.196923826,2.356602345,2.349259793
0.02,0.063271342,0.063271342,0.296086798,0.106854981,0.470515538,2.576259585,2.57323724
0.02,0.041846729,0.041846729,0.286078133,0.134189224,0.496039185,3.353743301,3.352171553
0.02,0.135412997,0.135412997,0.479659724,0.113225046,0.136289236,2.844211836,2.822725084
0.02,0.058978221,0.058978221,0.266354382,0.460924836,0.154764341,2.345604675,2.343652417
0.02,0.059467216,0.059467216,0.218730458,0.215235489,0.447099621,2.060713707,2.059666661
0.02,0.06711706,0.06711706,0.287914763,0.435888861,0.141962257,1.885430915,1.885020828
0.02,0.045125323,0.045125323,0.469241692,0.329083193,0.111424469,2.548667281,2.547529784
0.02,0.122697376,0.122697376,0.07320576,0.220542411,0.460857078,2.346144087,2.338814496
0.02,0.027676299,0.027676299,0.189593309,0.484743879,0.270310213,2.970433947,2.970181119
0.02,0.056695703,0.056695703,0.087919372,0.33901749,0.459671733,2.341655619,2.340007074
0.02,0.052168793,0.052168793,0.326206803,0.472712751,0.09674286,2.634466702,2.632584706
0.02,0.068503377,0.068503377,0.094246071,0.292770706,0.475976468,2.720383823,2.71621357
0.02,0.077139229,0.077139229,0.367340407,0.046315102,0.432066033,1.936751634,1.936023642
0.02,0.082201074,0.082201074,0.436654431,0.287862343,0.111081078,1.897295436,1.896894673
0.02,0.040661566,0.040661566,0.495587366,0.162841669,0.260247832,3.343683619,3.342222764
0.02,0.076895586,0.076895586,0.470819183,0.148036845,0.2273528,2.588199356,2.583148314
0.02,0.165952744,0.165952744,0.490943241,0.162517419,0.014633851,3.195616971,3.155009829
0.02,0.04575048,0.04575048,0.228542225,0.458057609,0.221899205,2.278889288,2.278038442
0.02,0.113111226,0.113111226,0.065047098,0.243694468,0.465035981,2.442870886,2.434030536
0.02,0.040116221,0.040116221,0.130312868,0.335223282,0.454231409,2.229734427,2.229306826
0.02,0.069781671,0.069781671,0.134651294,0.493865835,0.23191953,3.295811614,3.289726139
0.02,0.070548153,0.070548153,0.248317959,0.116798768,0.493786968,3.289332887,3.28312813
0.02,0.037135669,0.037135669,0.487185399,0.101764288,0.336778976,3.041666478,3.040769744
0.03,0.071980096,0.071980096,0.150525243,0.213928595,0.491585969,2.629415884,2.625058913
0.03,0.124465642,0.124465642,0.031802294,0.242593682,0.47667274,2.305234024,2.298551881
0.03,0.03733719,0.03733719,0.435908686,0.439128435,0.050288499,2.114632763,2.114364839
0.03,0.101797509,0.101797509,0.154234767,0.495982509,0.146187707,2.742119233,2.731577182
0.03,0.051807616,0.051807616,0.141024876,0.481124442,0.27423545,2.394121696,2.3925839
0.03,0.052066476,0.052066476,0.438428594,0.022065341,0.435373113,2.105381168,2.104580835
0.03,0.137987656,0.137987656,0.162773315,0.474903244,0.086348129,2.274256085,2.26971334
0.03,0.072106041,0.072106041,0.175826045,0.215278504,0.464683369,2.084610265,2.082729295
0.03,0.104438199,0.104438199,0.456035011,0.079931004,0.255157586,1.947981774,1.94766991
0.03,0.036986926,0.036986926,0.143483688,0.459353068,0.323189391,2.022711313,2.022496791
0.03,0.063731484,0.063731484,0.091489967,0.31874693,0.462300134,2.066367608,2.065042666
0.03,0.065905371,0.065905371,0.491253703,0.203294619,0.173640937,2.620924129,2.617403093
0.03,0.067820672,0.067820672,0.303338316,0.110863619,0.450156721,1.879277978,1.878715767
0.03,0.142466252,0.142466252,0.086152621,0.482130411,0.146784463,2.422355929,2.413133037
0.03,0.112309931,0.112309931,0.117211362,0.461244951,0.196923826,2.026999118,2.025862217
0.03,0.063271342,0.063271342,0.296086798,0.106854981,0.470515538,2.195046768,2.193232652
0.03,0.041846729,0.041846729,0.286078133,0.134189224,0.496039185,2.724973373,2.723802233
0.03,0.135412997,0.135412997,0.479659724,0.113225046,0.136289236,2.371154046,2.362958242
0.03,0.058978221,0.058978221,0.266354382,0.460924836,0.154764341,2.026050409,2.025033238
0.03,0.059467216,0.059467216,0.218730458,0.215235489,0.447099621,1.815225193,1.815007596
